# loss	acc	val_loss	val_acc
6.863411194359947398e-01	5.440692428629696487e-01	7.070852100849152055e-01	5.250000089406967607e-01
6.620580019270465577e-01	6.110607189677016438e-01	6.520805597305298074e-01	6.149999976158142534e-01
6.324527098035999106e-01	6.438826545036092641e-01	6.847337782382965088e-01	6.079999983310699907e-01
6.140400341812801699e-01	6.642003792354268521e-01	6.449019551277160867e-01	6.220000088214874268e-01
6.009200296543594222e-01	6.764065627454027840e-01	6.361912846565246360e-01	6.409999966621399148e-01
5.900486068667876172e-01	6.859823274208337596e-01	6.384203732013702393e-01	6.400000035762787309e-01
5.826981780111154530e-01	6.924611934311951655e-01	6.388261258602142556e-01	6.449999928474425825e-01
5.743485065837675707e-01	6.993547057773052966e-01	6.281279981136321799e-01	6.370000004768371360e-01
5.665919667150732808e-01	7.047321649564317614e-01	6.339813709259033425e-01	6.340000033378601074e-01
5.577589337510722167e-01	7.115608896317453524e-01	6.379503965377807395e-01	6.430000007152557595e-01
5.505848294356433525e-01	7.174177844068949650e-01	6.538134634494781050e-01	6.379999995231628862e-01
5.447508223096275692e-01	7.183896148337954868e-01	7.141092121601104736e-01	6.230000019073486106e-01
5.357322099450605446e-01	7.260087587965197153e-01	6.594505429267882857e-01	6.480000019073486328e-01
5.287832837490720195e-01	7.293907293022308114e-01	7.226204216480255349e-01	6.139999985694885032e-01
5.255085050474288533e-01	7.306735418294962869e-01	7.030045866966248003e-01	6.399999976158141646e-01
5.187717928602377793e-01	7.366988899025848081e-01	7.568615913391113503e-01	6.330000042915344682e-01
5.120755914494147243e-01	7.381890267207085188e-01	7.024790465831756148e-01	6.330000042915344682e-01
5.066515016367952873e-01	7.417394461096573632e-01	7.018151879310607910e-01	6.130000114440917747e-01
